2025-11-20 14:36:51,110 | PID=3871900 | idx=20 | STEP=zarr_file_0 | open=10.7ms | read=46.9ms
2025-11-20 14:36:51,110 | PID=3871908 | idx=48 | STEP=zarr_file_0 | open=10.8ms | read=47.1ms
2025-11-20 14:36:51,110 | PID=3871901 | idx=24 | STEP=zarr_file_0 | open=10.2ms | read=47.2ms
2025-11-20 14:36:51,110 | PID=3871910 | idx=56 | STEP=zarr_file_0 | open=9.9ms | read=48.1ms
2025-11-20 14:36:51,110 | PID=3871898 | idx=12 | STEP=zarr_file_0 | open=10.0ms | read=47.7ms
2025-11-20 14:36:51,110 | PID=3871905 | idx=40 | STEP=zarr_file_0 | open=10.3ms | read=47.6ms
2025-11-20 14:36:51,115 | PID=3871894 | idx=4 | STEP=zarr_file_0 | open=10.0ms | read=52.3ms
2025-11-20 14:36:51,125 | PID=3871899 | idx=16 | STEP=zarr_file_0 | open=9.4ms | read=63.1ms
2025-11-20 14:36:51,126 | PID=3871904 | idx=36 | STEP=zarr_file_0 | open=9.6ms | read=64.5ms
2025-11-20 14:36:51,132 | PID=3871895 | idx=8 | STEP=zarr_file_0 | open=11.0ms | read=68.6ms
2025-11-20 14:36:51,147 | PID=3871893 | idx=0 | STEP=zarr_file_0 | open=11.8ms | read=82.3ms
2025-11-20 14:36:51,153 | PID=3871909 | idx=52 | STEP=zarr_file_0 | open=52.9ms | read=47.8ms
2025-11-20 14:36:51,157 | PID=3871910 | idx=56 | STEP=zarr_file_1 | open=3.1ms | read=43.5ms
2025-11-20 14:36:51,157 | PID=3871908 | idx=48 | STEP=zarr_file_1 | open=2.8ms | read=44.1ms
2025-11-20 14:36:51,157 | PID=3871902 | idx=28 | STEP=zarr_file_1 | open=3.2ms | read=44.2ms
2025-11-20 14:36:51,157 | PID=3871911 | idx=60 | STEP=zarr_file_1 | open=2.9ms | read=45.2ms
2025-11-20 14:36:51,157 | PID=3871905 | idx=40 | STEP=zarr_file_1 | open=3.1ms | read=43.2ms
2025-11-20 14:36:51,158 | PID=3871900 | idx=20 | STEP=zarr_file_1 | open=2.9ms | read=44.9ms
